#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2014-12-31,FMI-SMNA,0.0,Rigel Kivi/Ricardo Sanchez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,233,MARAMBIO,ATA,89055

#INSTRUMENT
Name,Model,Number
ECC,Z,Z27256

#LOCATION
Latitude,Longitude,Height
-64.233,-56.623,198

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2014-12-31,11:15:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
220.96,2,250.16,-1.09,272.3,0,0,Dobson (Beck),99

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92,0.023,0.041,28.9,Ibg2 - Pressure dependent,Pump Hole,5

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
984.7,1.05,-1.9,6.5,350,0,0,198,84,26.1
983.5,1.05,-1.9,2.6,5,0,2,208,71,26.2
981.9,1.08,-1.8,2.9,5,0,4,220,74,26.2
980.3,1.12,-2.0,3.4,4,0,6,233,78,26.2
978.9,1.12,-2.3,3.8,3,0,8,245,78,26.2
977.8,1.12,-2.3,4.2,3,0,10,254,77,26.2
976.9,1.12,-2.4,4.6,2,0,12,261,76,26.2
975.7,1.12,-2.4,4.9,2,0,14,270,75,26.2
974.3,1.12,-2.3,5.1,3,0,16,282,74,26.2
972.9,1.13,-2.3,5.3,3,0,18,294,74,26.2
971.7,1.13,-2.3,5.5,4,0,20,303,75,26.2
970.6,1.13,-2.3,5.6,5,0,22,312,75,26.2
969.3,1.13,-2.4,5.7,6,0,24,323,75,26.2
968.0,1.14,-2.1,5.7,7,0,26,334,75,26.2
966.8,1.14,-1.8,5.7,8,0,28,344,75,26.2
965.7,1.14,-1.4,5.7,10,0,30,352,70,26.2
964.6,1.14,-1.0,5.6,11,0,32,362,59,26.3
963.4,1.14,-0.8,5.5,11,0,34,371,53,26.3
962.3,1.14,-0.6,5.4,12,0,36,381,47,26.3
961.2,1.14,-0.5,5.3,12,0,38,390,43,26.3
960.2,1.15,-0.5,5.2,12,0,40,398,41,26.3
958.9,1.15,-0.5,5.1,11,0,42,409,40,26.3
957.7,1.16,-0.6,5.0,11,0,44,419,40,26.3
956.7,1.17,-0.6,4.9,10,0,46,428,40,26.3
955.4,1.17,-0.8,4.9,9,0,48,438,39,26.3
954.1,1.18,-0.8,4.8,8,0,50,449,37,26.3
952.7,1.18,-0.8,4.8,7,0,52,461,36,26.3
951.4,1.18,-0.8,4.8,6,0,54,471,35,26.3
950.2,1.18,-0.9,4.9,5,0,56,482,36,26.2
949.0,1.18,-1.0,4.9,4,0,58,491,37,26.2
948.0,1.18,-1.0,5.0,4,0,60,500,35,26.2
946.8,1.18,-1.0,5.0,3,0,62,510,33,26.2
945.7,1.18,-1.1,5.1,2,0,64,519,31,26.2
944.7,1.17,-1.1,5.1,1,0,66,528,30,26.2
943.8,1.17,-1.1,5.1,360,0,68,535,31,26.2
942.9,1.17,-1.3,5.0,359,0,70,543,32,26.2
942.0,1.17,-1.3,5.0,358,0,72,550,32,26.2
941.1,1.17,-1.1,4.9,357,0,74,558,31,26.2
940.2,1.17,-1.3,4.7,356,0,76,566,31,26.2
939.2,1.18,-1.3,4.6,355,0,78,574,30,26.2
938.2,1.19,-1.3,4.4,354,0,80,582,30,26.3
937.2,1.19,-1.3,4.2,353,0,82,591,31,26.3
936.1,1.19,-1.3,4.0,352,0,84,601,30,26.3
935.0,1.20,-1.1,3.8,351,0,86,610,29,26.3
933.9,1.20,-1.1,3.6,350,0,88,620,28,26.3
932.9,1.20,-1.1,3.4,349,0,90,628,28,26.3
931.9,1.20,-1.1,3.2,349,0,92,636,28,26.3
930.9,1.21,-1.3,3.0,349,0,94,645,28,26.3
929.9,1.21,-1.3,2.8,349,0,96,654,28,26.3
928.9,1.21,-1.3,2.6,349,0,98,662,28,26.3
927.7,1.22,-1.4,2.4,350,0,100,672,27,26.3
926.6,1.22,-1.4,2.1,352,0,102,682,27,26.3
925.6,1.23,-1.4,1.9,355,0,104,691,28,26.4
924.3,1.23,-1.5,1.7,359,0,106,702,28,26.4
922.9,1.24,-1.8,1.5,6,0,108,714,28,26.4
921.6,1.25,-1.9,1.3,15,0,110,725,28,26.4
920.2,1.25,-2.0,1.2,26,0,112,737,28,26.4
918.8,1.25,-2.1,1.2,38,0,114,749,29,26.4
917.4,1.26,-2.3,1.2,47,0,116,761,29,26.4
916.1,1.26,-2.3,1.3,54,0,118,772,29,26.3
915.0,1.26,-2.4,1.3,57,0,120,782,30,26.3
913.9,1.25,-2.5,1.4,57,0,122,791,30,26.3
912.8,1.25,-2.6,1.4,55,0,124,801,29,26.3
911.7,1.25,-2.6,1.5,50,0,126,811,30,26.3
910.5,1.25,-2.8,1.5,43,0,128,821,30,26.3
909.4,1.25,-2.8,1.6,35,0,130,831,30,26.3
908.1,1.26,-2.9,1.7,27,0,132,842,31,26.3
906.6,1.25,-3.0,1.9,19,0,134,855,31,26.3
905.4,1.25,-3.0,2.0,12,0,136,865,31,26.3
904.3,1.26,-3.0,2.2,6,0,138,875,30,26.3
903.0,1.26,-3.1,2.4,1,0,140,887,29,26.3
901.7,1.25,-3.3,2.6,357,0,142,898,28,26.3
900.7,1.25,-3.3,2.7,354,0,144,907,28,26.3
899.8,1.26,-3.3,2.9,351,0,146,915,28,26.3
898.7,1.26,-3.3,3.0,349,0,148,924,28,26.3
897.6,1.26,-3.4,3.0,348,0,150,934,27,26.3
896.5,1.26,-3.5,3.1,347,0,152,943,27,26.3
895.6,1.26,-3.5,3.1,347,0,154,952,28,26.3
894.6,1.26,-3.5,3.1,346,0,156,960,28,26.3
893.6,1.26,-3.5,3.1,346,0,158,969,27,26.3
892.6,1.26,-3.6,3.1,346,0,160,978,25,26.3
891.6,1.26,-3.6,3.0,346,0,162,987,24,26.3
890.4,1.27,-3.6,3.0,347,0,164,997,24,26.3
889.3,1.27,-3.4,3.0,347,0,166,1007,22,26.3
888.1,1.27,-3.3,3.0,347,0,168,1018,21,26.3
886.9,1.28,-3.3,3.0,348,0,170,1028,21,26.3
885.8,1.28,-3.4,3.0,348,0,172,1038,22,26.3
885.0,1.28,-3.4,3.1,348,0,174,1046,22,26.4
884.0,1.28,-3.5,3.1,349,0,176,1054,21,26.4
883.0,1.29,-3.4,3.1,350,0,178,1064,21,26.4
881.9,1.29,-3.4,3.1,350,0,180,1073,20,26.4
880.7,1.30,-3.4,3.0,351,0,182,1084,20,26.4
879.5,1.30,-3.5,3.0,352,0,184,1095,20,26.4
878.4,1.29,-3.6,3.0,352,0,186,1105,20,26.3
877.4,1.30,-3.8,2.9,353,0,188,1114,19,26.3
876.3,1.30,-3.6,2.8,353,0,190,1123,19,26.3
875.3,1.29,-3.4,2.7,353,0,192,1132,20,26.3
874.3,1.29,-3.5,2.6,352,0,194,1141,19,26.3
873.4,1.29,-3.5,2.4,351,0,196,1150,19,26.3
872.4,1.29,-3.5,2.3,349,0,198,1159,19,26.2
871.4,1.29,-3.5,2.2,346,0,200,1167,19,26.2
870.5,1.29,-3.5,2.0,343,0,202,1176,19,26.2
869.5,1.30,-3.6,1.9,338,0,204,1185,19,26.2
868.5,1.30,-3.8,1.8,334,0,206,1194,20,26.2
867.5,1.30,-3.8,1.7,329,0,208,1203,20,26.2
866.5,1.30,-3.8,1.6,323,0,210,1212,21,26.3
865.6,1.30,-3.8,1.5,319,0,212,1221,21,26.3
864.7,1.32,-3.8,1.4,314,0,214,1229,21,26.3
863.9,1.32,-3.9,1.3,312,0,216,1236,21,26.3
863.0,1.32,-3.9,1.1,311,0,218,1245,21,26.3
861.9,1.33,-3.9,1.0,312,0,220,1254,21,26.4
860.6,1.34,-4.0,0.9,316,0,222,1266,21,26.4
859.3,1.34,-4.1,0.7,324,0,224,1278,21,26.4
858.3,1.34,-4.3,0.7,338,0,226,1287,21,26.4
857.4,1.34,-4.3,0.7,354,0,228,1296,21,26.4
856.3,1.34,-4.4,0.7,8,0,230,1306,21,26.4
855.0,1.34,-4.5,0.8,17,0,232,1318,21,26.4
853.8,1.33,-4.6,0.9,22,0,234,1329,21,26.4
852.9,1.33,-4.8,1.0,24,0,236,1337,21,26.4
851.9,1.33,-4.8,1.1,24,0,238,1346,22,26.4
850.8,1.33,-4.8,1.1,23,0,240,1357,22,26.4
849.4,1.35,-4.9,1.1,21,0,242,1369,22,26.4
848.0,1.35,-5.0,1.1,18,0,244,1382,22,26.4
846.8,1.34,-5.3,1.1,13,0,246,1393,23,26.4
845.8,1.34,-5.3,1.0,8,0,248,1403,22,26.4
844.5,1.34,-5.3,0.9,2,0,250,1415,22,26.4
843.3,1.33,-5.4,0.8,355,0,252,1426,22,26.4
842.1,1.34,-5.4,0.8,347,0,254,1436,21,26.4
840.9,1.34,-5.5,0.7,338,0,256,1448,21,26.4
839.8,1.33,-5.8,0.6,329,0,258,1459,21,26.4
838.8,1.33,-5.8,0.6,320,0,260,1468,20,26.4
837.7,1.33,-5.8,0.6,312,0,262,1478,18,26.4
836.6,1.33,-5.8,0.5,306,0,264,1488,17,26.4
835.5,1.33,-5.8,0.5,360,0,266,1498,17,26.4
834.5,1.33,-5.8,0.0,0,0,268,1508,17,26.4
833.4,1.33,-5.9,0.0,0,0,270,1518,17,26.4
832.3,1.33,-6.0,0.0,0,0,272,1529,17,26.4
831.2,1.33,-6.1,0.0,0,0,274,1539,18,26.4
830.3,1.33,-6.1,0.0,0,0,276,1548,17,26.4
829.3,1.33,-6.1,0.0,0,0,278,1557,17,26.4
828.4,1.33,-6.1,0.0,0,0,280,1566,17,26.4
827.3,1.34,-6.1,0.0,0,0,282,1575,16,26.4
826.2,1.34,-6.3,0.5,118,0,284,1586,15,26.4
824.9,1.34,-6.3,0.6,122,0,286,1598,15,26.4
823.5,1.34,-6.4,0.6,129,0,288,1611,15,26.4
