
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2016-01-10,FMI-SMNA,0.0,Rigel Kivi/Ricardo Sanchez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,233,MARAMBIO,ATA,MBI

#INSTRUMENT
Name,Model,Number
ECC,Z,Z29818

#LOCATION
Latitude,Longitude,Height
-64.233,-56.623,198

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2016-01-09,11:36:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
239.76,2,268.25,-1.03,275.6,0,0,Dobson (Beck),99

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92,0.024,0.033,29.9,Ibg2 - Pressure dependent,Pump Hole,5

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
973.3,0.93,-3.6,7.3,350,0,0,198,84,27.6
963.5,0.94,-3.9,3.5,333,0,2,278,74,27.6
962.3,0.96,-4.0,3.3,332,0,4,288,77,27.6
960.9,0.99,-4.3,3.7,335,0,6,299,81,27.7
959.5,1.00,-4.3,4.0,336,0,8,311,83,27.7
958.2,1.00,-4.4,4.2,338,0,10,322,84,27.7
957.2,1.00,-4.5,4.4,339,0,12,329,85,27.7
956.5,0.99,-4.5,4.5,341,0,14,335,84,27.7
955.8,0.99,-4.5,4.7,342,0,16,341,85,27.7
955.1,0.99,-4.5,4.7,343,0,18,347,86,27.7
954.4,0.99,-4.3,4.8,344,0,20,352,84,27.7
953.6,0.99,-3.9,4.8,344,0,22,360,73,27.8
952.6,0.99,-2.0,4.7,344,0,24,367,60,27.8
951.6,1.00,-0.8,4.7,344,0,26,376,49,27.8
950.4,1.00,-0.8,4.6,343,0,28,386,45,27.8
949.4,1.02,-0.8,4.5,341,0,30,394,44,27.8
948.6,1.03,-0.9,4.4,340,0,32,401,43,27.8
947.7,1.04,-0.9,4.2,338,0,34,409,42,27.8
946.6,1.06,-0.9,4.0,336,0,36,418,41,27.9
945.6,1.07,-0.9,3.8,334,0,38,427,40,27.9
944.5,1.09,-0.9,3.6,331,0,40,435,40,27.9
943.5,1.10,-0.9,3.4,328,0,42,444,39,27.9
942.3,1.11,-1.0,3.1,326,0,44,454,39,27.9
941.1,1.12,-1.0,2.9,323,0,46,464,39,27.9
940.1,1.12,-1.1,2.6,319,0,48,473,39,27.9
939.1,1.13,-1.1,2.3,316,0,50,481,38,27.9
938.0,1.15,-1.1,2.1,312,0,52,491,37,27.9
936.9,1.15,-1.1,1.8,308,0,54,500,37,27.9
935.8,1.16,-1.1,1.6,303,0,56,510,37,27.9
934.7,1.17,-1.1,1.4,296,0,58,519,36,27.9
933.5,1.18,-1.3,1.2,289,0,60,529,36,27.9
932.2,1.18,-1.4,1.0,280,0,62,540,37,27.9
931.1,1.19,-1.5,0.9,271,0,64,550,37,27.9
930.0,1.20,-1.6,0.8,261,0,66,559,37,27.9
928.8,1.20,-1.8,0.8,251,0,68,569,37,28.0
927.5,1.21,-1.8,0.8,243,0,70,581,38,28.0
926.2,1.21,-1.9,0.7,236,0,72,591,38,28.0
925.1,1.21,-2.0,0.7,232,0,74,601,38,28.0
923.9,1.21,-2.1,0.7,230,0,76,611,38,28.0
922.8,1.21,-2.3,0.7,229,0,78,621,39,28.0
921.6,1.22,-2.4,0.7,230,0,80,631,39,28.0
920.4,1.22,-2.4,0.7,233,0,82,642,39,28.0
919.1,1.22,-2.5,0.6,237,0,84,652,39,28.1
918.0,1.22,-2.6,0.6,242,0,86,662,39,28.1
916.8,1.22,-2.8,0.6,248,0,88,672,39,28.1
915.7,1.22,-2.8,0.6,255,0,90,682,39,28.1
914.8,1.22,-2.8,0.7,261,0,92,690,40,28.1
913.7,1.22,-3.0,0.8,266,0,94,699,40,28.1
912.5,1.22,-3.1,0.9,271,0,96,709,40,28.1
911.2,1.22,-3.3,1.0,274,0,98,721,40,28.1
909.9,1.22,-3.3,1.1,277,0,100,732,40,28.1
908.7,1.22,-3.3,1.2,279,0,102,743,39,28.2
907.4,1.22,-3.5,1.4,282,0,104,754,40,28.2
906.1,1.22,-3.6,1.5,284,0,106,765,40,28.2
904.9,1.22,-3.6,1.7,286,0,108,776,40,28.2
903.8,1.22,-3.8,1.8,289,0,110,786,40,28.2
902.7,1.22,-3.8,1.8,291,0,112,795,40,28.2
901.7,1.22,-3.9,1.9,293,0,114,803,40,28.2
900.8,1.23,-4.0,2.0,296,0,116,811,40,28.3
900.0,1.22,-4.0,1.9,298,0,118,819,41,28.3
899.0,1.22,-4.1,1.9,300,0,120,827,41,28.3
897.8,1.22,-4.1,1.8,301,0,122,837,42,28.3
896.5,1.22,-4.1,1.8,301,0,124,849,43,28.3
895.3,1.22,-4.1,1.6,301,0,126,860,44,28.3
894.4,1.22,-4.1,1.5,300,0,128,868,45,28.3
893.5,1.21,-4.1,1.3,297,0,130,876,45,28.4
892.3,1.21,-4.3,1.2,292,0,132,886,45,28.4
891.0,1.21,-4.3,1.0,283,0,134,898,45,28.4
889.9,1.21,-4.3,0.9,270,0,136,908,44,28.4
889.1,1.21,-4.3,0.9,254,0,138,915,44,28.4
888.2,1.21,-4.1,0.9,237,0,140,923,44,28.4
887.2,1.20,-4.1,1.0,222,0,142,931,45,28.5
