
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2016-02-03,FMI-SMNA,0.0,Rigel Kivi/Ricardo Sanchez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,233,MARAMBIO,ATA,MBI

#INSTRUMENT
Name,Model,Number
ECC,Z,Z29827

#LOCATION
Latitude,Longitude,Height
-64.233,-56.623,198

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2016-02-03,11:31:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
227.6,2,254.19,-1.01,256,0,4,Dobson (Beck),99

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92,0.033,0.024,28.8,Ibg2 - Pressure dependent,Pump Hole,5

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
971.7,1.27,3.9,4.0,312,0,0,198,40,23.3
970.8,1.27,4.6,2.7,276,0,2,205,48,23.3
969.7,1.31,4.2,2.9,268,0,4,215,45,23.3
968.5,1.32,4.4,3.3,265,0,6,225,44,23.3
967.6,1.33,4.5,3.7,261,0,8,232,44,23.3
966.9,1.33,4.6,4.1,256,0,10,238,44,23.4
966.1,1.33,4.7,4.4,252,0,12,245,44,23.4
965.2,1.33,4.7,4.7,248,0,14,252,43,23.4
964.2,1.36,4.7,5.0,243,0,16,261,43,23.4
963.0,1.37,4.6,5.2,239,0,18,271,43,23.5
961.9,1.37,4.6,5.4,236,0,20,281,43,23.5
960.8,1.39,4.6,5.6,232,0,22,289,43,23.5
960.0,1.40,4.8,5.7,228,0,24,296,43,23.5
959.3,1.40,5.3,5.8,225,0,26,302,42,23.5
958.5,1.40,5.6,5.9,222,0,28,309,41,23.5
957.7,1.43,5.3,6.0,220,0,30,316,41,23.6
956.8,1.43,5.4,6.0,218,0,32,323,41,23.6
955.8,1.44,5.5,6.1,216,0,34,332,40,23.6
954.7,1.44,5.4,6.1,214,0,36,341,40,23.6
953.9,1.45,5.3,6.2,213,0,38,349,41,23.6
953.1,1.45,5.1,6.4,213,0,40,355,41,23.6
952.3,1.45,5.3,6.5,213,0,42,362,40,23.6
951.4,1.46,5.4,6.7,213,0,44,370,40,23.6
950.5,1.47,5.3,6.9,214,0,46,378,40,23.6
949.3,1.48,5.3,7.2,215,0,48,388,40,23.6
947.9,1.48,5.3,7.5,216,0,50,400,40,23.6
946.6,1.48,5.3,7.8,217,0,52,411,40,23.6
945.2,1.48,5.2,8.0,219,0,54,423,41,23.7
943.8,1.49,5.2,8.3,220,0,56,435,41,23.7
942.5,1.50,5.1,8.6,221,0,58,447,41,23.7
941.1,1.50,5.1,8.8,223,0,60,458,41,23.7
939.9,1.50,4.9,9.1,224,0,62,469,41,23.7
938.7,1.51,4.8,9.3,225,0,64,479,41,23.7
937.4,1.51,5.1,9.4,226,0,66,491,42,23.7
936.1,1.51,5.7,9.5,228,0,68,502,43,23.7
934.9,1.50,5.8,9.6,229,0,70,512,43,23.7
933.8,1.50,5.8,9.7,230,0,72,522,43,23.8
932.6,1.50,5.9,9.7,231,0,74,533,43,23.8
931.3,1.50,5.9,9.7,232,0,76,545,44,23.8
930.0,1.50,5.9,9.7,233,0,78,556,43,23.7
928.8,1.51,5.9,9.6,234,0,80,566,42,23.7
927.5,1.51,5.8,9.6,234,0,82,577,41,23.8
926.3,1.52,5.8,9.5,234,0,84,589,41,23.8
925.2,1.52,5.8,9.4,234,0,86,598,43,23.8
924.0,1.52,5.9,9.2,233,0,88,608,43,23.8
922.7,1.52,6.2,9.2,232,0,90,620,40,23.8
921.3,1.53,6.6,9.1,232,0,92,632,37,23.8
920.2,1.53,6.7,9.0,230,0,94,642,39,23.8
919.1,1.54,6.6,9.0,229,0,96,652,41,23.8
918.2,1.54,6.7,9.0,228,0,98,661,41,23.8
917.1,1.56,6.7,9.0,228,0,100,670,41,23.8
915.9,1.56,6.7,9.1,227,0,102,681,40,23.8
914.9,1.56,6.7,9.1,227,0,104,690,39,23.9
913.9,1.56,6.6,9.1,227,0,106,698,40,23.9
912.9,1.56,6.5,9.1,228,0,108,708,40,23.9
912.0,1.56,6.5,9.0,229,0,110,716,41,23.9
911.1,1.56,6.4,8.9,231,0,112,723,42,23.9
910.2,1.56,6.3,8.7,232,0,114,732,42,23.9
909.3,1.55,6.2,8.5,234,0,116,740,42,23.9
908.4,1.55,6.1,8.3,236,0,118,748,43,23.9
907.3,1.55,6.1,8.1,237,0,120,758,44,23.9
906.2,1.55,6.0,7.9,239,0,122,768,45,24.0
905.1,1.55,6.0,7.7,240,0,124,777,45,24.0
904.2,1.54,5.9,7.6,241,0,126,786,44,24.0
903.2,1.54,5.8,7.4,242,0,128,795,44,24.0
902.2,1.54,5.8,7.3,242,0,130,804,42,24.0
900.9,1.54,5.9,7.3,242,0,132,816,36,24.0
899.6,1.54,5.9,7.3,241,0,134,828,34,24.0
898.4,1.55,5.9,7.4,241,0,136,839,34,24.0
897.3,1.56,5.8,7.5,241,0,138,849,34,24.0
896.3,1.57,5.7,7.6,241,0,140,858,35,24.0
895.2,1.57,5.7,7.7,241,0,142,868,34,24.0
894.2,1.57,5.6,7.9,241,0,144,877,34,24.1
893.1,1.57,5.5,8.0,242,0,146,887,34,24.1
891.9,1.57,5.4,8.1,243,0,148,898,34,24.1
890.8,1.58,5.4,8.3,244,0,150,908,33,24.1
889.6,1.59,5.4,8.4,246,0,152,919,31,24.1
888.4,1.59,5.6,8.5,247,0,154,930,28,24.1
887.1,1.59,5.5,8.6,248,0,156,942,27,24.1
885.8,1.60,5.5,8.7,250,0,158,954,26,24.1
884.8,1.61,5.5,8.8,251,0,160,963,24,24.1
883.9,1.62,5.6,8.9,252,0,162,972,23,24.1
882.8,1.63,5.6,9.0,252,0,164,981,22,24.1
881.8,1.64,5.6,9.0,253,0,166,991,21,24.1
880.7,1.67,5.6,9.0,253,0,168,1002,20,24.1
879.5,1.68,5.7,9.0,254,0,170,1012,19,24.1
878.2,1.70,5.7,9.0,254,0,172,1024,19,24.2
877.2,1.70,5.7,8.9,254,0,174,1034,20,24.2
876.3,1.72,5.7,8.8,255,0,176,1042,20,24.2
875.4,1.73,5.6,8.6,255,0,178,1051,19,24.2
874.2,1.73,5.6,8.5,255,0,180,1061,19,24.2
872.9,1.73,5.5,8.2,256,0,182,1074,19,24.2
871.6,1.73,5.4,8.0,257,0,184,1086,19,24.2
870.5,1.74,5.4,7.8,258,0,186,1096,18,24.2
869.5,1.75,5.4,7.5,260,0,188,1106,18,24.2
868.5,1.75,5.4,7.3,262,0,190,1115,17,24.2
867.7,1.76,5.4,7.1,264,0,192,1123,17,24.3
866.8,1.78,5.3,7.0,266,0,194,1131,17,24.3
865.8,1.80,5.2,6.9,269,0,196,1140,17,24.3
864.9,1.80,5.2,6.9,272,0,198,1149,17,24.3
864.0,1.80,5.1,6.9,274,0,200,1157,17,24.4
863.2,1.81,5.1,6.9,277,0,202,1165,16,24.4
862.5,1.81,5.1,7.0,279,0,204,1172,17,24.4
861.6,1.83,5.1,7.1,281,0,206,1180,17,24.4
