
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2016-02-18,FMI-SMNA,0.0,Rigel Kivi/Ricardo Sanchez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,233,MARAMBIO,ATA,MBI

#INSTRUMENT
Name,Model,Number
ECC,Z,Z29649

#LOCATION
Latitude,Longitude,Height
-64.233,-56.623,198

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2016-02-18,11:48:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
271.08,2,308.24,-0.98,303,,,Dobson (Beck),99

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92,0.025,0.015,29.1,Ibg2 - Pressure dependent,Pump Hole,5

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
961.8,1.14,-5.8,3.0,34,0,0,198,81,21.5
960.3,1.14,-6.1,3.1,24,0,2,210,83,21.5
958.9,1.15,-6.6,3.4,24,0,4,222,84,21.6
957.6,1.16,-6.9,3.8,24,0,6,232,85,21.6
956.3,1.17,-6.9,4.1,24,0,8,242,87,21.6
954.8,1.17,-7.1,4.3,24,0,10,255,87,21.6
953.4,1.17,-7.3,4.4,24,0,12,266,87,21.6
952.1,1.17,-7.3,4.4,23,0,14,277,89,21.6
950.7,1.17,-7.3,4.4,23,0,16,288,90,21.6
949.4,1.16,-7.4,4.2,22,0,18,299,91,21.6
947.8,1.16,-7.5,3.9,21,0,20,312,92,21.6
946.2,1.17,-7.6,3.5,20,0,22,325,93,21.6
944.7,1.17,-7.8,3.1,17,0,24,338,93,21.6
943.1,1.17,-7.9,2.6,14,0,26,351,94,21.6
941.4,1.17,-8.0,2.1,8,0,28,365,94,21.6
940.0,1.17,-8.1,1.6,357,0,30,377,95,21.6
938.6,1.16,-8.0,1.2,338,0,32,388,95,21.6
937.3,1.16,-6.8,1.1,310,0,34,399,79,21.6
936.0,1.16,-5.1,1.2,282,0,36,410,68,21.6
934.9,1.16,-4.8,1.5,265,0,38,419,63,21.6
934.0,1.16,-4.8,1.8,255,0,40,427,61,21.6
932.9,1.17,-4.8,2.1,250,0,42,436,60,21.6
931.9,1.17,-4.6,2.4,247,0,44,444,59,21.6
930.9,1.17,-4.4,2.6,245,0,46,453,55,21.6
929.8,1.17,-4.3,2.8,244,0,48,462,52,21.6
928.5,1.18,-4.3,2.9,244,0,50,473,50,21.6
927.2,1.19,-4.3,2.9,244,0,52,484,49,21.6
926.0,1.20,-4.1,2.9,245,0,54,494,47,21.6
924.9,1.21,-4.0,3.0,246,0,56,504,46,21.6
