
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2016-03-05,FMI-SMNA,0.0,Rigel Kivi/Ricardo Sanchez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,233,MARAMBIO,ATA,MBI

#INSTRUMENT
Name,Model,Number
ECC,Z,Z29488

#LOCATION
Latitude,Longitude,Height
-64.233,-56.623,198

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2016-03-05,11:32:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
240.71,2,265.72,-1,266,0,0,Dobson (Beck),99

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92,0.018,0.02,29.9,Ibg2 - Pressure dependent,Pump Hole,5

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
963.6,1.64,-2.0,4.8,38,0,0,198,86,26.2
962.7,1.65,-2.5,3.2,60,0,2,206,88,26.2
961.4,1.71,-2.8,3.4,63,0,4,216,89,26.3
960.1,1.71,-3.0,3.9,63,0,6,226,90,26.3
959.0,1.71,-3.3,4.4,64,0,8,236,90,26.3
958.0,1.70,-3.3,4.8,64,0,10,244,90,26.3
957.2,1.69,-3.0,5.2,65,0,12,251,89,26.3
956.4,1.67,-2.9,5.7,64,0,14,257,86,26.3
955.6,1.67,-2.4,6.1,64,0,16,264,77,26.3
954.7,1.67,-1.9,6.5,64,0,18,272,70,26.3
953.7,1.67,-1.8,6.9,63,0,20,280,65,26.3
952.6,1.68,-1.5,7.3,62,0,22,289,60,26.3
951.4,1.68,-1.1,7.7,62,0,24,299,56,26.3
950.2,1.70,-1.1,8.1,61,0,26,309,55,26.3
949.0,1.70,-1.1,8.4,61,0,28,319,54,26.4
947.9,1.71,-1.0,8.7,60,0,30,328,52,26.4
947.0,1.71,-0.9,9.0,60,0,32,336,32,26.4
946.1,1.70,-1.0,9.2,59,0,34,344,12,26.4
945.2,1.70,-1.3,9.4,59,0,36,351,1,26.4
944.1,1.70,-1.3,9.5,59,0,38,361,2,26.4
943.1,1.70,-1.3,9.6,59,0,40,369,2,26.4
942.0,1.71,-1.3,9.6,58,0,42,378,1,26.4
941.0,1.71,-1.3,9.5,58,0,44,387,1,26.4
940.1,1.71,-1.1,9.4,57,0,46,394,1,26.4
939.2,1.71,-1.3,9.3,56,0,48,402,1,26.4
938.3,1.71,-1.4,9.1,55,0,50,410,1,26.4
937.4,1.71,-1.4,9.0,53,0,52,417,1,26.4
936.4,1.71,-1.3,8.9,52,0,54,425,1,26.4
935.3,1.72,-1.3,8.8,50,0,56,435,1,26.4
934.2,1.72,-1.4,8.7,48,0,58,445,1,26.4
933.3,1.72,-1.5,8.7,47,0,60,452,8,26.5
932.5,1.72,-1.6,8.7,46,0,62,459,22,26.5
931.5,1.72,-1.6,8.7,44,0,64,467,35,26.5
930.4,1.72,-1.6,8.7,44,0,66,477,42,26.5
929.2,1.72,-1.8,8.8,43,0,68,487,46,26.5
928.1,1.72,-1.8,8.8,44,0,70,496,49,26.5
927.2,1.71,-1.9,8.9,44,0,72,504,50,26.5
926.3,1.71,-2.0,8.9,45,0,74,512,51,26.5
925.2,1.71,-1.9,9.0,45,0,76,521,51,26.5
924.1,1.71,-1.9,9.1,46,0,78,531,52,26.5
923.1,1.71,-2.3,9.1,47,0,80,540,53,26.5
922.1,1.72,-2.3,9.1,47,0,82,548,54,26.5
921.3,1.71,-2.3,9.1,47,0,84,555,54,26.5
920.7,1.71,-2.3,9.1,47,0,86,560,53,26.5
920.0,1.71,-2.1,9.0,47,0,88,566,52,26.5
919.2,1.70,-2.1,8.9,46,0,90,573,52,26.5
918.6,1.69,-2.1,8.9,45,0,92,579,53,26.5
917.9,1.69,-2.0,8.7,44,0,94,585,54,26.5
916.9,1.69,-1.8,8.6,42,0,96,593,54,26.5
915.9,1.69,-1.6,8.5,41,0,98,602,54,26.5
914.7,1.69,-1.5,8.3,40,0,100,612,53,26.6
913.4,1.69,-1.6,8.1,39,0,102,623,52,26.6
912.1,1.69,-1.8,7.9,38,0,104,635,51,26.6
910.8,1.67,-1.8,7.7,38,0,106,646,52,26.6
909.7,1.67,-1.8,7.5,37,0,108,655,52,26.6
908.5,1.66,-1.9,7.3,37,0,110,666,51,26.6
907.3,1.66,-1.8,7.1,38,0,112,677,51,26.6
906.1,1.66,-1.9,6.9,38,0,114,687,52,26.6
905.1,1.66,-2.1,6.7,39,0,116,696,51,26.6
904.1,1.66,-2.3,6.5,39,0,118,704,51,26.6
902.9,1.66,-2.3,6.4,39,0,120,715,51,26.7
901.7,1.66,-2.3,6.3,39,0,122,726,52,26.7
900.3,1.66,-2.5,6.2,38,0,124,738,53,26.7
899.1,1.66,-2.6,6.1,37,0,126,749,52,26.7
898.2,1.66,-2.6,6.1,35,0,128,757,53,26.7
897.1,1.64,-2.6,6.1,34,0,130,767,53,26.7
895.9,1.64,-2.8,6.0,32,0,132,777,53,26.7
894.8,1.65,-2.9,6.0,31,0,134,787,54,26.7
893.8,1.65,-3.1,6.0,30,0,136,795,55,26.7
892.8,1.65,-3.1,5.9,29,0,138,804,55,26.7
891.8,1.66,-3.3,5.8,28,0,140,813,56,26.7
890.8,1.66,-3.4,5.7,28,0,142,822,56,26.7
889.4,1.67,-3.5,5.5,28,0,144,834,56,26.7
888.0,1.67,-3.6,5.4,29,0,146,847,56,26.7
886.8,1.67,-3.6,5.1,30,0,148,858,55,26.7
885.7,1.66,-3.6,4.9,31,0,150,868,55,26.8
884.6,1.66,-3.5,4.6,32,0,152,877,53,26.8
883.4,1.66,-3.4,4.3,33,0,154,888,51,26.8
882.1,1.66,-3.5,4.0,35,0,156,900,49,26.8
880.8,1.65,-3.5,3.8,36,0,158,911,47,26.8
879.8,1.65,-3.4,3.5,38,0,160,920,45,26.8
