
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2016-04-23,FMI-SMNA,0.0,Rigel Kivi/Ricardo Sanchez

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,233,MARAMBIO,ATA,MBI

#INSTRUMENT
Name,Model,Number
ECC,Z,Z29490

#LOCATION
Latitude,Longitude,Height
-64.233,-56.623,198

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2016-04-07,11:21:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
262.81,2,282,-0.99,278,0,0,Dobson (Beck),99

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS92,0.038,0.017,29.8,Ibg2 - Pressure dependent,Pump Hole,5

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
953.0,1.94,-1.4,6.0,330,0,0,198,92,23.6
951.9,1.95,-1.3,4.0,338,0,2,207,90,23.6
950.6,2.02,-1.5,4.3,339,0,4,218,91,23.6
949.2,2.02,-1.6,4.9,339,0,6,230,92,23.6
948.0,2.02,-1.6,5.4,340,0,8,240,92,23.6
946.7,2.01,-1.6,5.9,340,0,10,251,93,23.6
945.4,1.99,-1.8,6.3,341,0,12,262,93,23.6
944.1,1.99,-1.8,6.6,341,0,14,273,93,23.6
942.8,2.00,-1.9,6.9,341,0,16,284,94,23.6
941.6,2.01,-2.0,7.2,342,0,18,294,95,23.6
940.3,2.01,-2.1,7.4,342,0,20,305,95,23.6
939.1,2.02,-2.3,7.6,342,0,22,315,96,23.6
938.0,2.01,-2.3,7.8,342,0,24,325,96,23.6
936.9,2.02,-2.4,7.9,341,0,26,333,97,23.6
936.0,2.02,-2.4,8.1,341,0,28,341,97,23.6
935.3,2.02,-2.5,8.4,340,0,30,347,98,23.6
934.6,2.02,-2.5,8.6,339,0,32,353,98,23.5
933.6,2.02,-2.5,8.9,338,0,34,361,98,23.5
932.5,2.04,-2.6,9.2,337,0,36,371,98,23.5
931.5,2.04,-2.8,9.5,336,0,38,379,98,23.5
930.7,2.04,-2.8,9.8,335,0,40,386,98,23.5
929.8,2.04,-2.8,10.1,335,0,42,394,99,23.5
928.8,2.03,-2.8,10.3,334,0,44,402,99,23.5
927.9,2.03,-2.8,10.6,333,0,46,410,99,23.5
927.0,2.03,-2.8,10.8,333,0,48,418,99,23.5
926.2,2.03,-2.8,11.0,332,0,50,425,99,23.5
925.3,2.03,-2.8,11.2,331,0,52,432,98,23.5
924.6,2.03,-2.8,11.3,331,0,54,438,97,23.5
924.0,2.03,-2.8,11.5,330,0,56,444,96,23.5
923.3,2.03,-2.8,11.6,328,0,58,450,96,23.5
922.5,2.03,-2.8,11.7,327,0,60,456,96,23.5
921.6,2.03,-2.8,11.8,326,0,62,464,95,23.5
920.7,2.02,-2.8,11.9,324,0,64,472,93,23.5
919.9,2.02,-2.8,12.0,323,0,66,479,93,23.5
919.1,2.02,-2.8,12.1,321,0,68,486,91,23.5
918.2,2.02,-2.6,12.1,320,0,70,493,90,23.6
917.3,2.02,-2.5,12.2,319,0,72,502,89,23.6
916.7,2.02,-2.5,12.3,317,0,74,507,87,23.6
916.2,2.03,-2.4,12.3,317,0,76,511,84,23.6
915.8,2.02,-2.4,12.3,316,0,78,514,83,23.6
915.2,2.02,-2.4,12.3,315,0,80,520,82,23.6
914.5,2.03,-2.5,12.2,315,0,82,525,81,23.6
914.0,2.03,-2.5,12.1,316,0,84,530,81,23.6
913.5,2.02,-2.5,12.0,316,0,86,534,80,23.6
912.7,2.03,-2.6,11.8,317,0,88,541,80,23.6
912.0,2.02,-2.6,11.7,317,0,90,547,80,23.6
911.4,2.02,-2.8,11.5,318,0,92,553,79,23.6
910.7,2.02,-2.8,11.3,319,0,94,558,79,23.7
910.0,2.02,-2.8,11.1,321,0,96,565,80,23.7
909.1,2.02,-2.8,10.9,322,0,98,572,81,23.7
908.2,2.03,-2.9,10.7,323,0,100,580,81,23.7
907.2,2.03,-3.0,10.5,323,0,102,589,81,23.7
906.4,2.02,-3.0,10.4,324,0,104,596,79,23.7
905.8,2.01,-3.0,10.2,324,0,106,601,78,23.7
905.3,2.01,-3.0,10.1,324,0,108,606,76,23.7
904.9,2.01,-2.9,9.9,324,0,110,609,75,23.7
904.4,2.01,-3.0,9.8,324,0,112,614,75,23.7
903.6,2.01,-3.0,9.7,324,0,114,620,74,23.7
902.9,2.02,-3.0,9.6,323,0,116,627,73,23.7
902.3,2.02,-3.0,9.5,323,0,118,632,73,23.7
901.5,2.02,-3.0,9.5,323,0,120,639,72,23.7
900.7,2.01,-3.1,9.4,322,0,122,646,71,23.7
900.1,2.01,-3.1,9.4,322,0,124,651,70,23.7
899.4,2.01,-3.1,9.4,322,0,126,657,70,23.7
898.6,2.01,-3.3,9.4,322,0,128,664,69,23.7
897.9,2.01,-3.3,9.4,321,0,130,671,70,23.7
896.9,2.02,-3.3,9.4,321,0,132,679,69,23.7
896.1,2.01,-3.3,9.4,321,0,134,687,69,23.7
895.3,2.01,-3.3,9.5,320,0,136,693,68,23.7
894.7,2.01,-3.3,9.5,320,0,138,698,68,23.8
894.3,2.00,-3.3,9.6,319,0,140,703,68,23.8
893.8,2.00,-3.3,9.7,318,0,142,707,68,23.8
893.1,2.01,-3.3,9.7,318,0,144,713,68,23.7
892.3,2.00,-3.3,9.8,317,0,146,720,68,23.7
891.4,2.00,-3.4,9.9,316,0,148,728,69,23.6
890.8,2.00,-3.4,9.9,316,0,150,734,69,23.6
890.2,2.00,-3.4,10.0,315,0,152,739,69,23.6
889.5,2.00,-3.5,10.1,314,0,154,745,69,23.7
888.7,2.00,-3.5,10.2,314,0,156,752,70,23.7
888.1,2.00,-3.6,10.3,313,0,158,757,70,23.7
887.6,1.99,-3.6,10.3,313,0,160,761,69,23.7
887.1,1.99,-3.5,10.4,312,0,162,766,69,23.8
886.3,2.00,-3.5,10.5,312,0,164,773,68,23.8
885.2,2.00,-3.5,10.6,312,0,166,783,66,23.8
884.2,2.00,-3.4,10.7,311,0,168,792,63,23.8
883.3,1.98,-3.3,10.8,311,0,170,800,60,23.9
882.5,1.98,-3.1,10.9,311,0,172,807,57,23.9
881.6,1.98,-3.0,11.1,311,0,174,815,54,23.9
880.8,1.99,-3.0,11.2,311,0,176,822,53,23.9
880.2,2.01,-3.0,11.3,311,0,178,828,52,24.0
879.4,2.02,-3.0,11.4,311,0,180,835,52,24.0
878.5,2.02,-3.1,11.5,312,0,182,843,51,24.0
877.5,2.04,-3.1,11.6,312,0,184,853,51,24.0
876.4,2.04,-3.3,11.7,313,0,186,862,52,24.1
875.5,2.04,-3.3,11.7,313,0,188,871,52,24.1
874.7,2.03,-3.3,11.8,313,0,190,878,53,24.1
874.1,2.03,-3.3,11.8,314,0,192,883,54,24.1
873.4,2.03,-3.3,11.8,314,0,194,890,54,24.1
872.5,2.02,-3.4,11.8,314,0,196,897,54,24.1
871.9,2.02,-3.4,11.8,313,0,198,903,54,24.0
871.4,2.02,-3.4,11.8,313,0,200,908,54,24.0
870.6,2.02,-3.5,11.7,313,0,202,914,54,24.0
869.9,2.02,-3.5,11.8,313,0,204,921,54,23.9
869.1,2.01,-3.6,11.8,313,0,206,928,54,23.9
868.5,2.01,-3.6,11.8,313,0,208,934,54,23.9
868.0,2.01,-3.6,11.9,313,0,210,938,54,23.9
867.5,2.01,-3.6,12.0,314,0,212,943,54,23.9
866.8,2.01,-3.8,12.2,315,0,214,949,54,23.9
866.0,2.01,-3.8,12.3,315,0,216,956,53,24.0
865.1,2.01,-3.6,12.5,316,0,218,965,52,24.0
864.2,2.01,-3.6,12.6,317,0,220,973,50,24.0
863.6,2.01,-3.5,12.8,318,0,222,978,49,24.0
862.7,2.00,-3.4,12.9,318,0,224,986,45,24.1
861.8,2.00,-3.3,13.0,318,0,226,995,43,24.1
861.0,2.00,-3.4,13.1,318,0,228,1002,43,24.1
860.2,2.00,-3.4,13.2,318,0,230,1010,43,24.1
859.2,2.01,-3.5,13.2,317,0,232,1019,43,24.1
858.1,2.02,-3.6,13.2,317,0,234,1029,43,24.1
857.0,2.02,-3.8,13.2,316,0,236,1039,44,24.1
855.9,2.02,-3.9,13.1,315,0,238,1049,44,24.1
855.2,2.02,-3.9,13.0,314,0,240,1056,44,24.1
854.6,2.02,-3.9,13.0,313,0,242,1061,44,24.1
853.8,2.02,-4.0,12.9,312,0,244,1068,44,24.1
853.0,2.04,-4.1,12.8,311,0,246,1076,44,24.1
851.9,2.05,-4.1,12.7,311,0,248,1086,44,24.0
850.8,2.05,-4.3,12.5,310,0,250,1097,44,24.0
849.9,2.04,-4.3,12.3,310,0,252,1105,45,24.0
849.2,2.04,-4.3,12.1,309,0,254,1111,45,24.0
848.4,2.04,-4.3,11.9,309,0,256,1119,45,24.0
847.5,2.03,-4.4,11.6,309,0,258,1127,45,24.1
846.5,2.03,-4.4,11.3,308,0,260,1136,44,24.1
845.6,2.03,-4.5,11.0,308,0,262,1145,43,24.1
844.9,2.03,-4.5,10.7,307,0,264,1151,42,24.1
844.2,2.03,-4.6,10.4,306,0,266,1157,41,24.1
843.4,2.03,-4.6,10.1,305,0,268,1165,40,24.1
842.4,2.02,-4.6,9.9,304,0,270,1174,39,24.1
841.6,2.03,-4.6,9.6,304,0,272,1182,39,24.1
841.0,2.03,-4.6,9.4,303,0,274,1187,38,24.1
840.4,2.04,-4.5,9.3,302,0,276,1193,36,24.1
839.6,2.03,-4.5,9.2,302,0,278,1200,34,24.2
838.9,2.03,-4.4,9.1,302,0,280,1207,34,24.2
838.1,2.03,-4.5,9.1,302,0,282,1215,34,24.2
837.3,2.03,-4.6,9.2,303,0,284,1222,34,24.2
836.8,2.00,-4.6,9.3,304,0,286,1227,34,24.2
836.0,2.00,-4.6,9.5,305,0,288,1234,33,24.2
835.3,2.00,-4.8,9.7,306,0,290,1241,33,24.2
834.7,2.00,-4.8,9.9,307,0,292,1247,33,24.2
834.0,2.01,-4.8,10.2,308,0,294,1253,33,24.2
833.3,2.00,-4.8,10.5,309,0,296,1260,33,24.2
832.7,1.99,-4.9,10.8,310,0,298,1266,33,24.2
832.1,1.99,-4.9,11.1,310,0,300,1271,33,24.2
831.4,1.99,-5.0,11.3,310,0,302,1278,33,24.3
