* SOFTWARE: JMA_SNDANA Ver.1.2
* Ground equipment: Meisei
* Sampling interval: 1 second
* Smoothing method: Median filter 9 samples
* Amount of cathode solution: 3.0ml
* Concentration of cathode solution: 0.5%KI + half buffer + half KBr
* Background current correction: Pressure dependent
* Pump efficiency: Individually determined for each ozone instrument
* Balloon weight: 2000g
* Tropopause: 265.9hPa

#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2016-04-13,JMA,1.0,Head of Ozone Layer Monitoring Center

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,101,SYOWA,JPN,89532

#INSTRUMENT
Name,Model,Number
ECC,1Z,1Z29187

#LOCATION
Latitude,Longitude,Height
-69.01,39.58,22

#TIMESTAMP
UTCOffset,Date,Time
+03:00:00,2016-03-02,15:30:44

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
275.1,2,295.8,-0.980,290,0,0,Dobson,119

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS-06G(E),,0.02,28.41,Pressure_ib2,Pump,

#PUMP_CORRECTION
Pressure,Correction
1000,1.000
500,1.005
300,1.009
200,1.013
100,1.022
50,1.037
30,1.053
20,1.071
10,1.117
5,1.198
3,1.301

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
964.6,1.86,-2,1.2,40,2,0,18,55,23.8
964,1.87,-1.1,1.3,72,0,2,23,50,23.8
963.4,1.88,-3.2,1.4,105,0,4,28,45,23.8
962.8,1.9,-3,1.5,137,0,6,33,45,23.8
962.2,1.9,-3.5,1.6,170,0,8,38,45,23.8
961.7,1.9,-3.5,1.6,202,0,10,42,46,23.8
961.1,1.91,-3.5,1.7,235,0,12,47,47,23.8
960.5,1.91,-3.5,1.8,267,0,14,52,47,23.8
959.9,1.93,-3.5,1.9,300,0,16,57,47,23.8
959.3,1.93,-3.6,2,332,0,18,62,48,23.8
958.1,1.93,-3.7,1.6,328,0,20,72,48,23.8
956.9,1.92,-3.7,1.8,322,0,22,82,48,23.8
955.7,1.92,-3.7,2,336,0,24,92,49,23.8
954.5,1.92,-3.8,1.9,356,0,26,102,50,23.8
953.3,1.92,-3.9,1.8,14,0,28,112,50,23.8
952.1,1.92,-4,1.6,27,0,30,122,50,23.7
950.9,1.91,-4.1,1.5,28,0,32,132,50,23.7
949.8,1.91,-4.2,1.6,16,0,34,141,50,23.7
948.6,1.91,-4.3,2,13,0,36,151,49,23.7
947.4,1.91,-4.4,2.3,18,0,38,161,49,23.7
946.3,1.92,-4.4,2.2,27,0,40,171,49,23.7
945.1,1.92,-4.5,2,31,0,42,180,49,23.7
944,1.91,-4.6,2.1,29,0,44,190,49,23.7
942.9,1.91,-4.6,2.4,29,0,46,199,49,23.7
941.7,1.91,-4.8,2.6,35,0,48,209,49,23.7
940.6,1.91,-4.8,2.6,40,0,50,218,49,23.7
939.5,1.91,-5,2.5,42,0,52,227,49,23.7
938.4,1.9,-5,2.6,37,0,54,236,50,23.7
937.4,1.89,-5,2.9,36,0,56,245,50,23.7
936.3,1.89,-5.2,3.2,39,0,58,254,50,23.7
935.3,1.89,-5.2,3.3,40,0,60,263,50,23.7
934.2,1.91,-5.2,3.5,40,0,62,272,49,23.7
933.1,1.9,-5.3,3.6,40,0,64,281,49,23.7
932,1.91,-5.3,3.8,41,0,66,290,49,23.7
930.9,1.9,-5.4,3.9,41,0,68,299,49,23.7
929.9,1.9,-5.5,3.9,42,0,70,308,49,23.7
928.9,1.9,-5.6,4,41,0,72,317,49,23.7
927.8,1.89,-5.7,4,41,0,74,325,49,23.7
926.8,1.89,-5.8,4.1,40,0,76,334,49,23.7
925.7,1.89,-5.8,4.3,40,0,78,343,50,23.7
925,1.89,-5.9,4.4,41,2,,349,50,23.7
924.7,1.89,-5.9,4.5,41,0,80,352,50,23.7
923.7,1.89,-6,4.7,43,0,82,361,50,23.7
922.7,1.89,-6,4.9,45,0,84,369,50,23.7
921.7,1.88,-6.2,5,47,0,86,378,51,23.7
920.7,1.88,-6.3,5.1,48,0,88,386,51,23.7
919.6,1.88,-6.3,5.2,47,0,90,395,51,23.7
918.6,1.88,-6.3,5.4,45,0,92,404,51,23.7
917.6,1.88,-6.4,5.7,44,0,94,412,51,23.7
916.6,1.88,-6.5,6,45,0,96,421,51,23.7
915.6,1.87,-6.5,6.1,47,0,98,429,51,23.7
914.6,1.87,-6.7,6.1,48,0,100,437,51,23.7
913.6,1.87,-6.8,6,48,0,102,446,51,23.7
912.6,1.87,-6.8,6.1,46,0,104,454,51,23.7
911.6,1.87,-7,6.4,44,0,106,463,52,23.7
910.6,1.87,-7,6.7,44,0,108,472,53,23.7
909.6,1.86,-7.1,7,46,0,110,480,53,23.7
908.6,1.86,-7.1,7.1,48,0,112,489,53,23.7
907.6,1.85,-7.2,7.1,49,0,114,497,53,23.7
906.6,1.85,-7.3,7,49,0,116,506,53,23.7
905.6,1.85,-7.5,7.1,49,0,118,515,54,23.7
904.6,1.85,-7.4,7.2,49,0,120,523,53,23.7
903.6,1.84,-7.5,7.3,49,0,122,532,55,23.7
902.6,1.84,-7.5,7.4,50,0,124,541,53,23.7
901.6,1.85,-7.6,7.5,50,0,126,549,53,23.7
900.5,1.86,-7.7,7.7,51,0,128,558,52,23.7
899.5,1.86,-7.8,8,50,0,130,567,53,23.7
898.4,1.86,-7.9,8.4,50,0,132,576,53,23.7
897.4,1.85,-7.9,8.8,50,0,134,585,53,23.7
896.4,1.85,-8,9.1,49,0,136,594,53,23.8
895.3,1.84,-8.1,9.4,49,0,138,603,54,23.8
894.3,1.84,-8.2,9.5,49,0,140,612,54,23.8
893.2,1.84,-8.2,9.5,49,0,142,622,54,23.8
892.2,1.84,-8.3,9.6,48,0,144,631,54,23.8
891.1,1.84,-8.2,9.9,47,0,146,640,53,23.8
890,1.84,-8.3,10.2,47,0,148,650,53,23.8
888.9,1.84,-8.5,10.5,47,0,150,659,53,23.8
