24
NASA/GSFC/SHADOZ Archive         : http://croc.gsfc.nasa.gov/shadoz
SHADOZ Version                   : 05.1 Reprocessed
SHADOZ format data created       : 14 March, 2016
STATION                          : San Pedro, San Jose, Costa Rica
SHADOZ Principal Investigator    : Anne M. Thompson (NASA/GSFC, USA)
Station Principal Investigator(s): Holger Voemel (NCAR EOL FL-1, USA), Henry Selkirk (USRA, USA)
Latitude (deg)                   : 9.93960
Longitude (deg)                  : -84.04230
Elevation (m)                    : 1240.00
Launch Date                      : 20160304
Launch Time (UT)                 : 13:08:13
Highest level reached (hPa)      : 7.91
Integrated O3 until EOF (DU)     : 126.60
Sonde/MLS Climatology(1988-2010) : 42.12
Sonde Instrument, SN             : 2Z29883
Radiosonde, SN                   : InterMet IMet1 RSB, 37353
KI Solution                      : 1%, 1/10 Buffer
Applied pump corrections         : 1ZAVG
Pump flow rate (sec/100ml)       : 29.09
Background current (uA)          : 0.020
Missing or bad values            : 9000
Time    Press       Alt      Temp      RH         O3        O3        O3      W Dir     W Spd      T Pump    I O3  GPS lat   GPS lon   GPS alt
sec     hPa         km       C         %          mPa       ppmv      du      deg       m/s        C         uA        deg       deg        km
     0   878.600     1.240    18.440    83.000     1.057     0.012     0.000   177.300     0.300    28.300     0.300     9.940   -84.042     1.226
     1   878.330     1.243    18.580    83.000     1.107     0.013     0.003   137.100     1.900    28.300     0.313     9.940   -84.042     1.227
     1   878.200     1.244    18.370    83.000     1.129     0.013     0.004   131.000     1.700    28.300     0.319     9.940   -84.042     1.231
     3   877.990     1.246    18.260    83.000     1.137     0.013     0.006   108.800     0.400    28.300     0.321     9.940   -84.042     1.233
     3   877.710     1.249    18.130    83.000     1.137     0.013     0.009    77.400     0.400    28.400     0.321     9.940   -84.042     1.233
     5   877.130     1.254    18.050    83.000     1.126     0.013     0.015   113.100     0.800    28.400     0.318     9.940   -84.042     1.236
     5   876.550     1.260    18.000    83.000     1.118     0.013     0.021   140.800     1.400    28.400     0.316     9.940   -84.042     1.240
     7   875.900     1.266    17.860    83.000     1.115     0.013     0.027    86.000     1.400    28.400     0.315     9.940   -84.042     1.248
     7   875.290     1.272    17.840    83.000     1.126     0.013     0.033    46.000     2.000    28.400     0.318     9.940   -84.042     1.252
     8   874.630     1.279    17.800    83.000     1.115     0.013     0.040    43.000     2.200    28.400     0.315     9.940   -84.042     1.259
     9   873.950     1.285    17.700    84.000     1.111     0.013     0.047    72.600     1.900    28.400     0.314     9.940   -84.042     1.268
    10   873.410     1.291    17.650    84.000     1.141     0.013     0.052   349.000     3.900    28.400     0.322     9.940   -84.042     1.277
    12   872.780     1.297    17.530    84.000     1.149     0.013     0.059   273.900     4.700    28.400     0.324     9.939   -84.042     1.288
    12   872.150     1.303    17.470    84.000     1.164     0.013     0.066    14.100     2.100    28.400     0.328     9.939   -84.042     1.293
    13   871.470     1.310    17.340    84.000     1.156     0.013     0.073    75.900     2.400    28.400     0.326     9.939   -84.042     1.293
    14   870.730     1.317    17.260    84.000     1.168     0.013     0.080    75.000     5.700    28.400     0.329     9.939   -84.042     1.299
    15   869.970     1.325    17.200    85.000     1.160     0.013     0.088    56.000     6.800    28.400     0.327     9.939   -84.042     1.306
    16   869.220     1.332    17.140    85.000     1.160     0.013     0.096    37.400     7.700    28.400     0.327     9.939   -84.043     1.314
    17   868.500     1.339    17.030    85.000     1.164     0.013     0.104    44.900     6.800    28.400     0.328     9.939   -84.043     1.324
    18   867.810     1.346    17.030    85.000     1.194     0.014     0.111    50.900     8.000    28.400     0.336     9.939   -84.043     1.331
    19   867.220     1.352    16.990    85.000     1.205     0.014     0.118    31.000     8.200    28.400     0.339     9.939   -84.043     1.339
    20   866.620     1.358    17.300    85.000     1.194     0.014     0.124     0.500     5.800    28.400     0.336     9.939   -84.043     1.346
    21   865.910     1.365    16.700    84.000     1.175     0.014     0.132    10.000     2.200    28.400     0.331     9.939   -84.043     1.358
    22   865.230     1.371    17.110    84.000     1.179     0.014     0.139   105.600     2.000    28.400     0.332     9.939   -84.043     1.364
    23   864.650     1.377    17.160    84.000     1.183     0.014     0.146    99.100     2.000    28.400     0.333     9.939   -84.043     1.364
    24   864.040     1.383    17.460    83.000     1.183     0.014     0.152   102.000     4.100    28.400     0.333     9.939   -84.043     1.370
    25   863.440     1.389    17.280    83.000     1.179     0.014     0.159   105.000     5.500    28.400     0.332     9.939   -84.043     1.376
    26   862.810     1.395    17.280    82.000     1.190     0.014     0.166    96.500     7.500    28.400     0.335     9.939   -84.043     1.382
    27   862.090     1.403    17.290    82.000     1.205     0.014     0.173    87.000     8.500    28.400     0.339     9.939   -84.043     1.388
    28   861.370     1.410    17.150    82.000     1.198     0.014     0.181    80.800     7.800    28.400     0.337     9.939   -84.043     1.393
    29   860.560     1.418    17.020    83.000     1.190     0.014     0.190    78.000     7.600    28.500     0.335     9.939   -84.043     1.400
    30   859.730     1.426    16.940    83.000     1.198     0.014     0.199    81.400    10.200    28.500     0.337     9.939   -84.043     1.411
    31   858.890     1.434    16.870    83.000     1.206     0.014     0.209    83.000    10.900    28.500     0.339     9.939   -84.043     1.426
    32   858.120     1.442    16.620    84.000     1.198     0.014     0.217    82.900     4.400    28.500     0.337     9.939   -84.043     1.433
    33   857.270     1.450    16.590    84.000     1.191     0.014     0.226    80.000     3.800    28.500     0.335     9.939   -84.043     1.433
    35   856.350     1.460    16.620    85.000     1.194     0.014     0.237    87.800     8.500    28.500     0.336     9.939   -84.043     1.444
    36   855.530     1.468    16.530    85.000     1.172     0.014     0.246   100.000     8.800    28.500     0.330     9.939   -84.043     1.452
    36   854.730     1.476    16.490    84.000     1.183     0.014     0.254   102.800     7.500    28.500     0.333     9.939   -84.044     1.463
    37   854.070     1.482    16.440    85.000     1.191     0.014     0.261    95.000     7.700    28.500     0.335     9.939   -84.044     1.470
    39   853.410     1.489    16.320    85.000     1.187     0.014     0.269    87.000    11.000    28.500     0.334     9.939   -84.044     1.477
    39   852.820     1.495    16.300    84.000     1.198     0.014     0.275    81.700    11.900    28.500     0.337     9.939   -84.044     1.483
    41   852.150     1.502    16.390    84.000     1.210     0.014     0.283    75.600    13.100    28.500     0.340     9.939   -84.044     1.490
    41   851.500     1.508    16.280    84.000     1.217     0.014     0.290    68.300    10.500    28.500     0.342     9.939   -84.044     1.501
    43   850.800     1.515    16.260    85.000     1.213     0.014     0.298    70.100     1.900    28.500     0.341     9.939   -84.044     1.507
    43   850.050     1.523    16.100    85.000     1.194     0.014     0.306   106.000     1.100    28.500     0.336     9.939   -84.044     1.507
    44   849.350     1.530    16.080    86.000     1.198     0.014     0.314   121.000     4.400    28.500     0.337     9.939   -84.044     1.514
    45   848.570     1.538    16.120    84.000     1.213     0.014     0.323   122.900     8.000    28.500     0.341     9.939   -84.044     1.522
    46   847.820     1.545    16.230    84.000     1.194     0.014     0.331   106.600     8.600    28.500     0.336     9.939   -84.044     1.530
    48   847.110     1.552    15.980    86.000     1.183     0.014     0.339    96.400     9.000    28.500     0.333     9.939   -84.044     1.538
    48   846.450     1.559    15.860    86.000     1.187     0.014     0.346    98.900     9.200    28.500     0.334     9.939   -84.044     1.544
    49   845.810     1.565    15.720    86.000     1.198     0.014     0.353   115.500     8.600    28.500     0.337     9.939   -84.044     1.552
    50   845.170     1.572    15.700    86.000     1.206     0.014     0.361   123.000    15.300    28.500     0.339     9.939   -84.045     1.558
    51   844.600     1.578    15.660    86.000     1.206     0.014     0.367   117.000    17.100    28.500     0.339     9.939   -84.045     1.568
    52   843.950     1.584    15.710    86.000     1.202     0.014     0.374   107.600     5.400    28.500     0.338     9.939   -84.045     1.574
