#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2014-01-28,MeteoSwiss,1.1,rene.stubi@meteosuisse.ch

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,156,Payerne,CHE

#INSTRUMENT
Name,Model,Number
ECC,2Z,23619

#LOCATION
Latitude,Longitude,Height
46.49,6.57,491

#TIMESTAMP
UTCOffset,Date,Time
00:00:00,2013-08-14,11:00:00

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
275.88,3,314.43,-1.029,323.55,0,DS,Dobson,101
* TotalO3 = Dobson value for Arosa + integratedO3 Payerne to Arosa

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesgroundO3
SRS-400,0.049,0.068,27.6,Constant_ib2,pump

#PUMP_CORRECTION
Pressure,Correction
1000.0,1.000
200.0,1.0000
150.0,1.002
100.0,1.007
70.0,1.013
50.0,1.018
30.0,1.029
20.0,1.041
15.0,1.048
10.0,1.066
7.0,1.087
5.0,1.124
3.0,1.240
* [hPa], [mPa],  [oC],[m/s],[Deg],[],[s],[m],   [%],[C]

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
964.40,4.533,20.10,3.6,59,2,0,491,46.10,33.82
962.94,3.981,19.35,1.5,82,0,3,505,47.98,33.83
960.36,3.982,18.73,2.6,70,0,6,528,53.47,33.90
957.75,3.983,18.35,4.1,57,0,9,551,53.70,33.86
954.82,3.986,18.14,5.1,47,0,12,578,52.58,33.86
951.89,3.992,17.95,6.2,43,0,15,604,51.84,33.88
949.58,4.000,17.78,6.7,40,0,18,625,51.59,33.88
947.25,4.008,17.37,6.7,35,0,21,646,51.76,33.95
944.71,4.015,16.95,6.2,27,0,24,669,52.58,33.86
942.24,4.020,16.60,5.7,14,0,27,691,53.27,33.86
940.01,4.027,16.87,5.1,2,0,30,711,52.85,33.90
937.97,4.034,16.71,4.6,357,0,33,730,52.04,33.90
936.52,4.043,16.51,4.6,4,0,36,743,52.69,33.90
934.70,4.051,15.94,4.6,15,0,39,759,54.43,33.90
932.96,4.054,15.99,5.7,21,0,42,775,54.95,33.92
931.42,4.052,15.83,6.2,22,0,45,789,54.62,33.93
930.43,4.044,15.51,6.7,20,0,48,798,54.43,33.94
929.05,4.032,15.38,6.7,18,0,51,811,54.68,33.94
